Movie Name,Genre,Ratings,Votes,Duration
Joker: Folie à Deux,Jukebox Musical,5.2,183000,138.0
Mahavatar Narsimha,Kannada,8.5,47000,130.0
Exhuma,Korean,6.9,29000,134.0
Noise,Korean,5.7,1400,93.0
Love in the Big City,Korean,7.3,2400,118.0
Hidden Face,Korean,6.2,1100,115.0
Juror #2,Legal Drama,7.0,125000,114.0
Manjummel Boys,Malayalam,8.2,34000,135.0
Bramayugam,Malayalam,7.7,18000,139.0
Anweshippin Kandethum,Malayalam,7.4,12000,142.0
All We Imagine as Light,Malayalam,7.0,14000,118.0
The Goat Life,Malayalam,7.1,50000,173.0
Thalavan,Malayalam,7.2,7000,131.0
Big World,Mandarin,7.6,2700,131.0
The Killer,Martial Arts,5.7,18000,126.0
Land of Bad,Martial Arts,6.6,59000,113.0
The Killer's Game,Martial Arts,5.8,21000,104.0
Joy,Medical Drama,7.1,12000,115.0
We Bury the Dead,Monster Horror,5.6,12000,94.0
The Greatest Night in Pop,Music Documentary,7.9,16000,96.0
Nr. 24,Norwegian,7.5,20000,111.0
Dreams,Norwegian,7.2,3500,110.0
Spermageddon,Norwegian,5.4,3900,80.0
Rebel Ridge,One-Person Army Action,6.8,103000,131.0
Small Things Like These,Period Drama,6.7,38000,98.0
Queer,Period Drama,6.3,30000,137.0
On Swift Horses,Period Drama,6.0,6300,119.0
The Six Triple Eight,Period Drama,6.7,32000,127.0
Touch,Period Drama,7.4,7300,121.0
Blitz,Period Drama,6.2,19000,120.0
Maria,Period Drama,6.4,25000,124.0
The Seed of the Sacred Fig,Persian,7.5,20000,167.0
Civil War,Political Drama,7.0,268000,109.0
Mean Girls,Pop Musical,5.5,41000,112.0
I'm Still Here,Portuguese,8.1,150000,137.0
The Life of Chuck,Psychological Drama,7.3,70000,111.0
Speak No Evil,Psychological Drama,6.8,135000,110.0
Challengers,Psychological Drama,7.0,178000,131.0
The Outrun,Psychological Drama,6.9,22000,118.0
The Room Next Door,Psychological Drama,6.8,28000,107.0
Mr. K,Psychological Drama,5.4,2200,94.0
Killer Heat,Psychological Drama,5.6,16000,95.0
Lilies Not for Me,Psychological Drama,7.1,1800,99.0
Trap,Psychological Horror,5.8,165000,105.0
Heretic,Psychological Horror,7.0,225000,111.0
Don't Move,Psychological Horror,5.8,46000,92.0
The Rule of Jenny Pen,Psychological Horror,6.1,11000,104.0
